"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2021","55,036.5","54,011.1","55,427.8","53,345.0","84.08K","1.88%"
"Apr 26, 2021","54,020.5","48,963.5","54,320.9","48,815.9","129.76K","10.33%"
"Apr 25, 2021","48,963.6","50,088.2","50,532.4","47,098.5","59.20K","-2.25%"
"Apr 24, 2021","50,088.9","51,140.8","51,183.0","48,775.2","82.25K","-2.06%"
"Apr 23, 2021","51,143.6","51,707.1","52,099.9","47,659.4","214.46K","-1.13%"
"Apr 22, 2021","51,729.5","53,821.3","55,408.4","50,590.9","168.13K","-3.88%"
"Apr 21, 2021","53,820.2","56,479.5","56,764.4","53,657.6","100.26K","-4.71%"
"Apr 20, 2021","56,483.2","55,645.1","57,054.9","53,422.5","115.49K","1.50%"
"Apr 19, 2021","55,646.1","56,208.1","57,517.0","54,272.3","117.51K","-1.00%"
"Apr 18, 2021","56,207.1","60,043.2","60,362.1","51,817.6","216.81K","-6.39%"
"Apr 17, 2021","60,041.9","61,358.3","62,509.1","59,672.1","84.08K","-2.18%"
"Apr 16, 2021","61,379.7","63,211.6","63,518.5","60,027.3","136.85K","-2.90%"
"Apr 15, 2021","63,216.0","62,978.6","63,729.1","62,067.5","76.97K","0.37%"
"Apr 14, 2021","62,980.4","63,544.2","64,778.0","61,366.3","130.43K","-0.88%"
"Apr 13, 2021","63,540.9","59,863.6","63,659.0","59,839.4","126.56K","6.14%"
"Apr 12, 2021","59,863.8","59,982.1","61,259.9","59,569.2","81.88K","-0.19%"
"Apr 11, 2021","59,978.7","59,772.4","60,667.1","59,250.3","58.20K","0.39%"
"Apr 10, 2021","59,748.4","58,127.4","61,229.0","57,900.0","103.72K","2.80%"
"Apr 09, 2021","58,118.7","58,076.8","58,890.9","57,686.0","59.22K","0.07%"
"Apr 08, 2021","58,077.4","55,948.0","58,136.7","55,721.6","64.78K","3.80%"
"Apr 07, 2021","55,948.7","57,996.3","58,627.7","55,489.3","110.69K","-3.53%"
"Apr 06, 2021","57,996.3","59,169.0","59,487.0","57,403.3","77.15K","-1.69%"
"Apr 05, 2021","58,993.4","58,202.3","59,205.1","56,842.7","54.13K","1.36%"
"Apr 04, 2021","58,199.9","57,059.7","58,464.8","56,470.6","57.21K","2.00%"
"Apr 03, 2021","57,059.9","58,976.8","59,770.5","56,906.7","68.74K","-3.25%"
"Apr 02, 2021","58,977.3","58,718.2","60,134.9","58,466.5","72.37K","0.44%"
"Apr 01, 2021","58,718.3","58,763.2","59,406.5","58,040.7","69.04K","-0.08%"
"Mar 31, 2021","58,763.7","58,771.4","59,795.6","56,991.6","98.06K","-0.01%"
"Mar 30, 2021","58,771.3","57,614.6","59,366.9","57,077.1","86.21K","2.00%"
"Mar 29, 2021","57,616.2","55,764.7","58,392.6","54,951.1","107.91K","3.32%"
"Mar 28, 2021","55,765.2","55,856.9","56,504.2","54,711.3","58.71K","-0.17%"
"Mar 27, 2021","55,862.9","55,033.8","56,531.1","54,010.2","73.87K","1.50%"
"Mar 26, 2021","55,036.1","51,317.4","55,074.1","51,302.0","100.30K","7.24%"
"Mar 25, 2021","51,322.3","52,330.0","53,175.4","50,441.3","143.35K","-1.92%"
"Mar 24, 2021","52,325.4","54,309.1","57,169.4","51,725.4","137.91K","-3.91%"
"Mar 23, 2021","54,452.5","54,117.5","55,813.8","52,992.3","84.84K","0.54%"
"Mar 22, 2021","54,158.3","57,379.3","58,379.9","53,784.2","95.53K","-5.62%"
"Mar 21, 2021","57,383.8","58,097.4","58,583.8","55,583.3","77.47K","-1.22%"
"Mar 20, 2021","58,093.4","58,084.1","59,882.1","57,863.0","67.83K","0.01%"
"Mar 19, 2021","58,088.0","57,645.0","59,448.3","56,305.1","83.98K","0.75%"
"Mar 18, 2021","57,656.0","58,911.8","60,088.0","57,099.6","102.62K","-2.13%"
"Mar 17, 2021","58,913.5","56,892.9","58,933.2","54,253.2","118.26K","3.56%"
"Mar 16, 2021","56,889.7","55,619.5","56,889.7","53,342.6","128.51K","1.97%"
"Mar 15, 2021","55,791.3","59,117.4","60,565.9","55,088.8","117.71K","-5.62%"
"Mar 14, 2021","59,113.7","61,192.7","61,673.7","59,113.7","80.29K","-3.40%"
"Mar 13, 2021","61,195.3","57,267.4","61,795.8","56,118.8","134.64K","6.86%"
"Mar 12, 2021","57,265.1","57,806.2","58,052.3","55,134.5","116.96K","-0.92%"
"Mar 11, 2021","57,799.5","55,851.2","58,135.0","54,351.8","129.63K","3.49%"
"Mar 10, 2021","55,851.9","54,882.7","57,328.7","53,073.6","140.96K","1.77%"
"Mar 09, 2021","54,879.0","52,352.4","54,880.6","51,941.3","114.06K","4.91%"
"Mar 08, 2021","52,311.0","50,988.9","52,384.9","49,338.1","68.14K","2.61%"
"Mar 07, 2021","50,982.3","48,899.0","51,434.1","48,890.6","82.91K","4.35%"
"Mar 06, 2021","48,855.6","48,798.7","49,191.8","47,132.8","66.66K","0.13%"
"Mar 05, 2021","48,792.5","48,363.6","49,429.4","46,370.1","113.64K","0.75%"
"Mar 04, 2021","48,428.0","50,388.0","51,757.7","47,521.8","9.56K","-3.90%"
"Mar 03, 2021","50,395.1","48,422.2","52,567.9","48,159.2","44.93K","4.07%"
"Mar 02, 2021","48,424.2","49,595.6","50,191.9","47,100.6","102.10K","-2.36%"
"Mar 01, 2021","49,595.5","45,160.5","49,774.0","45,008.8","137.52K","9.81%"
"Feb 28, 2021","45,164.0","46,136.0","46,582.0","43,100.6","135.08K","-2.11%"
"Feb 27, 2021","46,136.7","46,333.1","48,335.1","45,059.4","98.75K","-0.45%"
"Feb 26, 2021","46,345.6","46,928.5","48,413.9","44,248.2","189.41K","-1.24%"
"Feb 25, 2021","46,928.5","49,695.9","52,013.8","46,773.7","83.22K","-5.57%"
"Feb 24, 2021","49,697.5","48,911.1","51,311.8","47,031.7","153.75K","1.61%"
"Feb 23, 2021","48,911.2","54,114.1","54,115.0","45,093.8","315.07K","-9.61%"
"Feb 22, 2021","54,111.8","57,437.6","57,480.8","48,353.8","244.95K","-5.78%"
"Feb 21, 2021","57,433.8","55,907.6","58,335.1","55,502.7","87.26K","2.70%"
"Feb 20, 2021","55,923.7","55,922.0","57,523.8","54,124.1","127.85K","0.03%"
"Feb 19, 2021","55,906.6","51,590.1","56,238.5","50,816.8","139.43K","8.38%"
"Feb 18, 2021","51,582.2","52,094.5","52,524.0","50,941.6","94.35K","-0.95%"
"Feb 17, 2021","52,079.2","49,161.3","52,577.7","49,018.1","140.03K","5.92%"
"Feb 16, 2021","49,169.7","47,934.2","50,515.8","47,044.4","141.37K","2.57%"
"Feb 15, 2021","47,936.3","48,611.1","48,936.5","45,786.1","123.18K","-1.45%"
"Feb 14, 2021","48,643.4","47,172.1","49,695.1","47,051.9","106.50K","3.13%"
"Feb 13, 2021","47,168.7","47,373.1","48,097.3","46,270.5","89.42K","-0.43%"
"Feb 12, 2021","47,371.7","47,995.0","48,927.4","46,218.6","133.73K","-1.29%"
"Feb 11, 2021","47,990.7","44,834.8","48,622.1","44,041.1","145.77K","7.04%"
"Feb 10, 2021","44,836.0","46,507.8","47,295.3","43,800.5","151.83K","-3.60%"
"Feb 09, 2021","46,508.6","46,396.4","48,143.5","45,104.7","193.87K","0.24%"
"Feb 08, 2021","46,395.7","38,853.6","46,596.4","38,057.0","248.47K","19.41%"
"Feb 07, 2021","38,852.9","39,228.9","39,691.7","37,381.6","125.37K","-1.03%"
"Feb 06, 2021","39,256.6","38,300.6","40,939.7","38,275.3","156.02K","2.50%"
"Feb 05, 2021","38,297.6","36,976.4","38,303.6","36,640.0","100.60K","3.56%"
"Feb 04, 2021","36,982.1","37,648.9","38,707.9","36,380.8","151.44K","-1.77%"
"Feb 03, 2021","37,646.8","35,486.9","37,646.8","35,401.5","131.03K","6.09%"
"Feb 02, 2021","35,485.2","33,514.0","35,976.1","33,462.4","120.85K","5.88%"
"Feb 01, 2021","33,515.7","33,106.8","34,685.6","32,324.9","126.32K","1.23%"
"Jan 31, 2021","33,108.1","34,281.6","34,348.3","32,189.9","101.92K","-3.43%"
"Jan 30, 2021","34,283.1","34,300.0","34,920.9","32,908.5","128.57K","-0.05%"
"Jan 29, 2021","34,301.8","33,381.7","38,546.0","31,953.3","297.73K","2.78%"
"Jan 28, 2021","33,374.8","30,408.9","33,790.8","29,911.9","167.39K","9.77%"
"Jan 27, 2021","30,404.0","32,499.6","32,545.4","29,290.4","194.35K","-6.46%"
"Jan 26, 2021","32,502.1","32,244.1","32,917.7","30,850.0","139.84K","0.77%"
"Jan 25, 2021","32,252.3","32,244.3","34,854.3","31,967.4","142.43K","0.03%"
"Jan 24, 2021","32,241.3","32,088.5","33,034.8","30,982.9","88.21K","0.47%"
"Jan 23, 2021","32,088.9","32,994.1","33,441.4","31,418.2","100.70K","-2.76%"
"Jan 22, 2021","33,000.5","30,838.7","33,821.2","28,871.2","243.09K","7.00%"
"Jan 21, 2021","30,842.1","35,472.3","35,591.1","30,101.8","253.27K","-13.06%"
"Jan 20, 2021","35,476.3","35,862.1","36,384.4","33,444.5","153.61K","-1.46%"
"Jan 19, 2021","36,002.9","36,630.6","37,821.0","36,001.4","79.11K","-1.67%"
"Jan 18, 2021","36,613.2","35,838.2","37,436.8","34,801.0","111.52K","2.16%"
"Jan 17, 2021","35,839.6","36,020.1","36,801.3","33,883.5","126.82K","-0.50%"
"Jan 16, 2021","36,019.5","36,751.8","37,931.7","35,408.4","137.02K","-2.24%"
"Jan 15, 2021","36,845.8","39,175.7","39,715.0","34,488.7","118.42K","-5.95%"
"Jan 14, 2021","39,175.7","37,383.4","40,054.3","36,772.1","172.40K","4.80%"
"Jan 13, 2021","37,382.2","34,061.2","37,764.6","32,451.9","209.93K","9.70%"
"Jan 12, 2021","34,076.1","35,426.0","36,598.7","32,572.7","241.93K","-4.13%"
"Jan 11, 2021","35,544.3","38,195.3","38,217.2","30,411.6","251.04K","-6.93%"
"Jan 10, 2021","38,192.2","40,149.7","41,362.4","35,141.6","215.78K","-4.88%"
"Jan 09, 2021","40,151.9","40,607.2","41,363.5","38,775.1","128.42K","-1.10%"
"Jan 08, 2021","40,599.3","39,466.4","41,921.7","36,613.4","251.29K","2.89%"
"Jan 07, 2021","39,460.2","36,798.5","40,340.9","36,361.2","249.60K","7.25%"
"Jan 06, 2021","36,793.2","33,999.3","36,934.8","33,408.3","227.56K","8.24%"
"Jan 05, 2021","33,991.5","32,015.4","34,414.7","30,010.5","202.13K","6.15%"
"Jan 04, 2021","32,022.6","33,016.6","33,587.5","28,204.5","255.27K","-2.84%"
"Jan 03, 2021","32,958.9","32,192.9","34,755.9","32,029.6","155.21K","2.38%"
"Jan 02, 2021","32,193.3","29,359.7","33,233.5","29,008.0","240.87K","9.65%"
"Jan 01, 2021","29,359.9","28,951.7","29,627.1","28,712.4","100.90K","1.42%"
"Dec 31, 2020","28,949.4","28,866.8","29,298.8","28,025.0","136.69K","0.28%"
"Dec 30, 2020","28,868.7","27,374.5","28,979.3","27,374.5","159.82K","5.45%"
"Dec 29, 2020","27,376.0","27,065.3","27,390.7","25,902.8","119.57K","1.18%"
"Dec 28, 2020","27,057.8","26,259.2","27,444.9","26,144.3","126.98K","3.03%"
"Dec 27, 2020","26,261.3","26,460.3","28,360.3","25,858.2","231.23K","-0.73%"
"Dec 26, 2020","26,454.4","24,714.7","26,826.0","24,515.1","155.77K","7.15%"
"Dec 25, 2020","24,689.6","23,728.7","24,778.9","23,445.3","2.40K","4.02%"
"Dec 24, 2020","23,736.5","23,253.2","23,783.7","22,737.3","104.59K","2.06%"
"Dec 23, 2020","23,257.9","23,820.8","24,063.7","22,694.7","178.47K","-2.37%"
"Dec 22, 2020","23,823.2","22,730.4","23,825.4","22,388.6","130.75K","4.82%"
"Dec 21, 2020","22,728.5","23,474.1","24,101.9","22,015.5","154.69K","-3.18%"
"Dec 20, 2020","23,474.9","23,843.6","24,280.9","23,098.9","114.09K","-1.55%"
"Dec 19, 2020","23,844.0","23,127.6","24,107.1","22,797.0","133.88K","3.10%"
"Dec 18, 2020","23,127.9","22,823.3","23,272.8","22,361.5","131.80K","1.33%"
"Dec 17, 2020","22,825.4","21,352.3","23,738.0","21,243.1","310.74K","6.90%"
"Dec 16, 2020","21,352.2","19,434.7","21,525.3","19,299.7","199.81K","9.87%"
"Dec 15, 2020","19,434.9","19,273.9","19,556.3","19,076.2","98.39K","0.84%"
"Dec 14, 2020","19,273.8","19,176.4","19,346.5","19,007.0","67.11K","0.51%"
"Dec 13, 2020","19,176.8","18,808.1","19,403.6","18,716.8","82.45K","1.96%"
"Dec 12, 2020","18,808.9","18,026.7","18,936.2","18,025.1","71.37K","4.36%"
"Dec 11, 2020","18,023.6","18,250.5","18,288.3","17,600.1","111.53K","-1.23%"
"Dec 10, 2020","18,247.2","18,546.1","18,551.8","17,926.8","85.31K","-1.61%"
"Dec 09, 2020","18,546.0","18,322.4","18,637.9","17,658.8","129.72K","1.20%"
"Dec 08, 2020","18,326.6","19,170.8","19,288.6","18,229.2","101.41K","-4.40%"
"Dec 07, 2020","19,170.7","19,368.4","19,424.6","18,908.8","61.98K","-1.08%"
"Dec 06, 2020","19,379.9","19,146.0","19,417.1","18,873.0","54.56K","1.22%"
"Dec 05, 2020","19,146.5","18,657.5","19,172.7","18,507.1","59.44K","2.62%"
"Dec 04, 2020","18,658.1","19,431.1","19,529.5","18,610.8","110.63K","-3.99%"
"Dec 03, 2020","19,433.3","19,219.8","19,596.6","18,883.7","99.97K","1.12%"
"Dec 02, 2020","19,218.8","18,767.9","19,335.5","18,346.7","91.92K","2.39%"
"Dec 01, 2020","18,770.7","19,697.8","19,897.4","18,257.0","208.72K","-4.71%"
